Date,Country,Rain,Temp,Rust,Production,Futures
9/6/2005,Brasil,71.4529,25.2846,8.5,2783.33,84.493
9/13/2005,Brasil,71.4529,25.2846,8.5,2783.33,84.539
9/20/2005,Brasil,71.4529,25.2846,8.5,2783.33,85.023
9/27/2005,Brasil,71.4529,25.2846,8.5,2783.33,86.506
10/4/2005,Brasil,117.666,26.8205,0.5,2783.33,87.37
10/11/2005,Brasil,117.666,26.8205,0.5,2783.33,87.862
10/18/2005,Brasil,117.666,26.8205,0.5,2783.33,85.868
10/25/2005,Brasil,117.666,26.8205,0.5,2783.33,84.812
11/1/2005,Brasil,141.097,26.7675,0.5,2783.33,83.96
11/8/2005,Brasil,141.097,26.7675,0.5,2783.33,87.206
11/15/2005,Brasil,141.097,26.7675,0.5,2783.33,83.925
11/22/2005,Brasil,141.097,26.7675,0.5,2783.33,74.016
12/6/2005,Brasil,245.874,25.9458,5,2783.33,79.957
12/13/2005,Brasil,245.874,25.9458,5,2783.33,82.493
12/20/2005,Brasil,245.874,25.9458,5,2783.33,81.396
12/27/2005,Brasil,245.874,25.9458,5,2783.33,82.702
1/3/2006,Brasil,212.477,26.5366,11.5,2783.33,82.671
1/10/2006,Brasil,212.477,26.5366,11.5,2783.33,94.198
1/17/2006,Brasil,212.477,26.5366,11.5,2783.33,102.72
1/24/2006,Brasil,212.477,26.5366,11.5,2783.33,110.657
1/31/2006,Brasil,212.477,26.5366,11.5,2783.33,114.017
2/7/2006,Brasil,226.571,26.275,15.5,2783.33,108.355
2/14/2006,Brasil,226.571,26.275,15.5,2783.33,101.784
2/21/2006,Brasil,226.571,26.275,15.5,2783.33,96.019
2/28/2006,Brasil,226.571,26.275,15.5,2783.33,94.778
3/7/2006,Brasil,256.832,26.1044,23.5,2783.33,97.499
3/14/2006,Brasil,256.832,26.1044,23.5,2783.33,97.433
3/21/2006,Brasil,256.832,26.1044,23.5,2783.33,99.731
3/28/2006,Brasil,256.832,26.1044,23.5,2783.33,104.816
4/4/2006,Brasil,216.115,25.3955,32.5,2783.33,106.17
4/11/2006,Brasil,216.115,25.3955,32.5,2783.33,107.761
4/18/2006,Brasil,216.115,25.3955,32.5,2783.33,101.523
4/25/2006,Brasil,216.115,25.3955,32.5,2783.33,101.002
5/2/2006,Brasil,158.622,24.0456,42,2783.33,100.244
5/9/2006,Brasil,158.622,24.0456,42,2783.33,99.976
5/16/2006,Brasil,158.622,24.0456,42,2783.33,102.842
5/23/2006,Brasil,158.622,24.0456,42,2783.33,106.517
5/30/2006,Brasil,158.622,24.0456,42,2783.33,112.292
6/6/2006,Brasil,80.4482,23.8359,50,2783.33,120.532
6/13/2006,Brasil,80.4482,23.8359,50,2783.33,126.941
6/20/2006,Brasil,80.4482,23.8359,50,2783.33,121.7
6/27/2006,Brasil,80.4482,23.8359,50,2783.33,117.763
7/3/2006,Brasil,60.2834,24.3867,48.5,2783.33,115.862
7/11/2006,Brasil,60.2834,24.3867,48.5,2783.33,118.855
7/18/2006,Brasil,60.2834,24.3867,48.5,2783.33,120.361
7/25/2006,Brasil,60.2834,24.3867,48.5,2783.33,123.006
8/1/2006,Brasil,45.3446,25.2383,40.5,2783.33,120.726
8/8/2006,Brasil,45.3446,25.2383,40.5,2783.33,112.927
8/15/2006,Brasil,45.3446,25.2383,40.5,2783.33,107.829
8/22/2006,Brasil,45.3446,25.2383,40.5,2783.33,101.96
8/29/2006,Brasil,45.3446,25.2383,40.5,2783.33,99.833
6/3/2008,Brasil,35.6,23.3609,15.9,3832.67,153.194
6/10/2008,Brasil,35.6,23.3609,15.9,3832.67,148.748
6/17/2008,Brasil,35.6,23.3609,15.9,3832.67,144.066
6/24/2008,Brasil,35.6,23.3609,15.9,3832.67,140.857
7/1/2008,Brasil,0.2,24.2316,15.9,3832.67,148.775
7/8/2008,Brasil,0.2,24.2316,15.9,3832.67,148.715
7/15/2008,Brasil,0.2,24.2316,15.9,3832.67,145.873
7/22/2008,Brasil,0.2,24.2316,15.9,3832.67,146.5
7/29/2008,Brasil,0.2,24.2316,15.9,3832.67,146.668
8/5/2008,Brasil,56,25.2559,15.9,3832.67,145.055
8/12/2008,Brasil,56,25.2559,15.9,3832.67,132.765
8/19/2008,Brasil,56,25.2559,15.9,3832.67,128.667
8/26/2008,Brasil,56,25.2559,15.9,3832.67,126.493
9/2/2008,Brasil,29.9,25.5867,15.9,3832.67,127.113
9/9/2008,Brasil,29.9,25.5867,15.9,3832.67,123.156
9/16/2008,Brasil,29.9,25.5867,15.9,3832.67,126.229
9/23/2008,Brasil,29.9,25.5867,15.9,3832.67,123.753
9/30/2008,Brasil,29.9,25.5867,15.9,3832.67,137.031
10/7/2008,Brasil,72.6,26.843,15.9,3832.67,138.3
10/14/2008,Brasil,72.6,26.843,15.9,3832.67,132.198
10/21/2008,Brasil,72.6,26.843,15.9,3832.67,129.213
10/28/2008,Brasil,72.6,26.843,15.9,3832.67,128.577
11/4/2008,Brasil,45.4,26.1698,15.9,3832.67,125.623
11/11/2008,Brasil,45.4,26.1698,15.9,3832.67,122.993
11/18/2008,Brasil,45.4,26.1698,15.9,3832.67,111.924
11/25/2008,Brasil,45.4,26.1698,15.9,3832.67,108.048
12/2/2008,Brasil,143,26.0047,15.9,3832.67,109.38
12/9/2008,Brasil,143,26.0047,15.9,3832.67,114.655
12/16/2008,Brasil,143,26.0047,15.9,3832.67,119.674
12/22/2008,Brasil,143,26.0047,15.9,3832.67,121.505
12/29/2009,Brasil,143,26.0047,15.9,3832.67,122.856
1/6/2009,Brasil,403.8,25.786,15.9,3289.17,127.437
1/13/2009,Brasil,403.8,25.786,15.9,3289.17,127.162
1/20/2009,Brasil,403.8,25.786,15.9,3289.17,128.222
1/27/2009,Brasil,403.8,25.786,15.9,3289.17,134.488
2/3/2009,Brasil,130,25.7919,15.9,3289.17,137.744
2/10/2009,Brasil,130,25.7919,15.9,3289.17,136.959
2/17/2009,Brasil,130,25.7919,15.9,3289.17,130.901
2/24/2009,Brasil,130,25.7919,15.9,3289.17,123.023
3/3/2009,Brasil,116,26.0315,15.9,3289.17,127.51
3/10/2009,Brasil,116,26.0315,15.9,3289.17,131.281
3/17/2009,Brasil,116,26.0315,15.9,3289.17,136.67
3/24/2009,Brasil,116,26.0315,15.9,3289.17,139.628
3/31/2009,Brasil,116,26.0315,15.9,3289.17,142.245
4/7/2009,Brasil,1.8,25.4516,15.9,3289.17,142.856
4/14/2009,Brasil,1.8,25.4516,15.9,3289.17,140.059
4/21/2009,Brasil,1.8,25.4516,15.9,3289.17,127.578
4/28/2009,Brasil,1.8,25.4516,15.9,3289.17,123.772
5/5/2009,Brasil,57.7,24.7343,15.9,3289.17,127.805
5/12/2009,Brasil,57.7,24.7343,15.9,3289.17,133.3
5/19/2009,Brasil,57.7,24.7343,15.9,3289.17,137.013
5/26/2009,Brasil,57.7,24.7343,15.9,3289.17,141.549
6/2/2009,Brasil,28.9,23.4664,15.9,3289.17,144.634
6/9/2009,Brasil,28.9,23.4664,15.9,3289.17,136.437
6/16/2009,Brasil,28.9,23.4664,15.9,3289.17,126.171
6/23/2009,Brasil,28.9,23.4664,15.9,3289.17,112.453
6/30/2009,Brasil,28.9,23.4664,15.9,3289.17,111.402
7/7/2009,Brasil,73.9,24.185,15.9,3289.17,111.378
7/14/2009,Brasil,73.9,24.185,15.9,3289.17,107.649
7/21/2009,Brasil,73.9,24.185,15.9,3289.17,107.678
7/28/2009,Brasil,73.9,24.185,15.9,3289.17,105.603
8/4/2009,Brasil,125.8,25.1073,15.9,3289.17,103.833
8/11/2009,Brasil,125.8,25.1073,15.9,3289.17,106.27
8/18/2009,Brasil,125.8,25.1073,15.9,3289.17,102.59
8/25/2009,Brasil,125.8,25.1073,15.9,3289.17,93.025
9/1/2009,Brasil,117.4,26.3294,15.9,3289.17,94.776
9/8/2009,Brasil,117.4,26.3294,15.9,3289.17,96.145
9/15/2009,Brasil,117.4,26.3294,15.9,3289.17,96.285
9/22/2009,Brasil,117.4,26.3294,15.9,3289.17,103.574
9/29/2009,Brasil,117.4,26.3294,15.9,3289.17,98.94
10/6/2009,Brasil,141.1,26.5985,15.9,3289.17,101.848
10/13/2009,Brasil,141.1,26.5985,15.9,3289.17,110.478
10/20/2009,Brasil,141.1,26.5985,15.9,3289.17,122.452
10/27/2009,Brasil,141.1,26.5985,15.9,3289.17,122.873
11/3/2009,Brasil,115.4,27.164,15.9,3289.17,125.359
11/9/2009,Brasil,115.4,27.164,15.9,3289.17,129.949
11/17/2009,Brasil,115.4,27.164,15.9,3289.17,113.767
11/24/2009,Brasil,115.4,27.164,15.9,3289.17,107.505
12/1/2009,Brasil,407.7,26.1718,15.9,3289.17,112.189
12/8/2009,Brasil,407.7,26.1718,15.9,3289.17,120.127
12/15/2009,Brasil,407.7,26.1718,15.9,3289.17,127.695
12/22/2009,Brasil,407.7,26.1718,15.9,3289.17,130.027
12/30/2009,Brasil,407.7,26.1718,15.9,3289.17,124.939
3/15/1989,Papa New Guinea,352.418,25.2825,6.33,97.92,23.184
3/31/1989,Papa New Guinea,352.418,25.2825,6.33,97.92,23.891
4/14/1989,Papa New Guinea,309.504,25.3501,15.67,97.92,26.265
4/28/1989,Papa New Guinea,309.504,25.3501,15.67,97.92,25.602
5/15/1989,Papa New Guinea,252.749,25.3185,23.33,97.92,22.854
5/31/2009,Papa New Guinea,252.749,25.3185,23.33,97.92,25.172
6/15/1989,Papa New Guinea,196.393,24.9477,14,97.92,24.578
6/30/1989,Papa New Guinea,196.393,24.9477,14,97.92,24.996
7/14/1989,Papa New Guinea,219.524,24.7483,8.33,97.92,26.811
7/31/1989,Papa New Guinea,219.524,24.7483,8.33,97.92,29.707
8/15/1989,Papa New Guinea,237.065,24.6747,6,97.92,31.292
8/31/1989,Papa New Guinea,237.065,24.6747,6,97.92,32.21
9/15/1989,Papa New Guinea,213.673,25.1398,1.67,97.92,32.084
9/29/1989,Papa New Guinea,213.673,25.1398,1.67,97.92,32.912
10/13/1989,Papa New Guinea,302.419,25.7002,0.37,97.92,34.954
10/31/1989,Papa New Guinea,302.419,25.7002,0.37,97.92,35.779
11/15/1989,Papa New Guinea,230.773,25.8947,0.33,97.92,32.683
11/30/1989,Papa New Guinea,230.773,25.8947,0.33,97.92,30.557
12/15/1989,Papa New Guinea,277.269,25.7478,6.17,97.92,31.831
12/29/1989,Papa New Guinea,277.269,25.7478,6.17,97.92,35.378
1/15/1990,Papa New Guinea,366.39,25.8029,6.17,91,37.8
1/31/1990,Papa New Guinea,366.39,25.8029,6.17,91,37.368
2/15/1990,Papa New Guinea,167.531,26.1945,3.33,91,46.758
2/28/1990,Papa New Guinea,167.531,26.1945,3.33,91,45.95
3/15/1990,Papa New Guinea,273.724,26.1636,6.7,91,45.482
3/30/1990,Papa New Guinea,273.724,26.1636,6.7,91,46.528
4/12/1990,Papa New Guinea,270.703,25.6725,12.67,91,44.622
4/30/1990,Papa New Guinea,270.703,25.6725,12.67,91,40.324
5/15/1990,Papa New Guinea,304.667,25.634,19.33,91,42.392
5/31/1990,Papa New Guinea,304.667,25.634,19.33,91,41.853
6/15/1990,Papa New Guinea,315.229,24.6812,16,91,41.991
6/29/1990,Papa New Guinea,315.229,24.6812,16,91,39.655
7/13/1990,Papa New Guinea,257.89,24.5734,9.33,91,38.655
7/31/1990,Papa New Guinea,257.89,24.5734,9.33,91,41.542
8/15/1990,Papa New Guinea,200.912,24.2855,14.67,91,41.306
8/31/1990,Papa New Guinea,200.912,24.2855,14.67,91,41.253
9/28/1990,Papa New Guinea,274.941,24.5662,2.83,91,38.197
10/15/1990,Papa New Guinea,259.907,25.2817,7,91,38.862
10/31/1990,Papa New Guinea,259.907,25.2817,7,91,40.587
11/15/1990,Papa New Guinea,192.28,25.8184,5.5,91,44.863
11/30/1990,Papa New Guinea,192.28,25.8184,5.5,91,43.339
12/14/1990,Papa New Guinea,259.016,26.2534,3.17,91,41.001
12/31/1990,Papa New Guinea,259.016,26.2534,3.17,91,40.238
1/15/1991,Papa New Guinea,335.117,25.772,3,80.33,42.235
1/31/1991,Papa New Guinea,335.117,25.772,3,80.33,45.355
2/15/1991,Papa New Guinea,313.009,25.0609,8.6,80.33,40.108
2/28/1991,Papa New Guinea,313.009,25.0609,8.6,80.33,36.756
3/15/1991,Papa New Guinea,282.426,25.5247,18.67,80.33,38.451
3/28/1991,Papa New Guinea,282.426,25.5247,18.67,80.33,41.265
4/15/1991,Papa New Guinea,291.212,25.7247,23.33,80.33,38.407
4/30/1991,Papa New Guinea,291.212,25.7247,23.33,80.33,39.214
5/15/1991,Papa New Guinea,169.874,24.8081,25.67,80.33,41.929
5/31/1991,Papa New Guinea,169.874,24.8081,25.67,80.33,43.862
6/14/1991,Papa New Guinea,97.3011,24.6184,21,80.33,45.96
6/28/1991,Papa New Guinea,97.3011,24.6184,21,80.33,41.395
7/15/1991,Papa New Guinea,194.159,24.4759,22.67,80.33,41.918
7/31/1991,Papa New Guinea,194.159,24.4759,22.67,80.33,42.294
8/15/1991,Papa New Guinea,292.652,24.3236,16.17,80.33,41.147
8/30/1991,Papa New Guinea,292.652,24.3236,16.17,80.33,38.677
9/16/1991,Papa New Guinea,106.101,24.4297,13.17,80.33,42.791
9/30/1991,Papa New Guinea,106.101,24.4297,13.17,80.33,43.065
10/15/1991,Papa New Guinea,258.387,24.8793,3.5,80.33,44.696
10/31/1991,Papa New Guinea,258.387,24.8793,3.5,80.33,42.597
1/3/1995,Colombia,105.893,24.9902,34.33,1073.17,33.221
1/10/1995,Colombia,105.893,24.9902,34.33,1073.17,33.906
1/17/1995,Colombia,105.893,24.9902,34.33,1073.17,34.135
1/24/1995,Colombia,105.893,24.9902,34.33,1073.17,34.704
1/31/1995,Colombia,105.893,24.9902,34.33,1073.17,36.01
2/7/1995,Colombia,72.8301,25.4399,34.33,1073.17,36.653
2/14/1995,Colombia,72.8301,25.4399,34.33,1073.17,36.782
2/21/1995,Colombia,72.8301,25.4399,34.33,1073.17,33.405
2/28/1995,Colombia,72.8301,25.4399,34.33,1073.17,36.06
3/7/1995,Colombia,178.468,25.255,34.33,1073.17,36.273
3/14/1995,Colombia,178.468,25.255,34.33,1073.17,37.73
3/21/1995,Colombia,178.468,25.255,34.33,1073.17,37.057
3/28/1995,Colombia,178.468,25.255,34.33,1073.17,36.657
4/4/1995,Colombia,283.613,25.1316,34.33,1073.17,36.008
4/11/1995,Colombia,283.613,25.1316,34.33,1073.17,34.577
4/18/1995,Colombia,283.613,25.1316,34.33,1073.17,33.792
4/25/1995,Colombia,283.613,25.1316,34.33,1073.17,33.222
5/2/1995,Colombia,280.73,24.4683,34.33,1073.17,33.604
5/9/1995,Colombia,280.73,24.4683,34.33,1073.17,34.606
5/16/1995,Colombia,280.73,24.4683,34.33,1073.17,33.408
5/23/1995,Colombia,280.73,24.4683,34.33,1073.17,36.749
5/30/1995,Colombia,280.73,24.4683,34.33,1073.17,35.786
6/6/1995,Colombia,335.419,24.409,34.33,1073.17,35.598
6/13/1995,Colombia,335.419,24.409,34.33,1073.17,36.266
6/20/1995,Colombia,335.419,24.409,34.33,1073.17,34.981
6/27/1995,Colombia,335.419,24.409,34.33,1073.17,31.054
7/3/1995,Colombia,311.159,23.9721,34.33,1073.17,30.668
7/11/1995,Colombia,311.159,23.9721,34.33,1073.17,31.664
7/18/1995,Colombia,311.159,23.9721,34.33,1073.17,29.429
7/25/1995,Colombia,311.159,23.9721,34.33,1073.17,29.747
8/1/1995,Colombia,282.634,23.7368,34.33,1073.17,28.606
8/8/1995,Colombia,282.634,23.7368,34.33,1073.17,27.132
8/15/1995,Colombia,282.634,23.7368,34.33,1073.17,27.921
8/22/1995,Colombia,282.634,23.7368,34.33,1073.17,26.327
8/29/1995,Colombia,282.634,23.7368,34.33,1073.17,27.1
9/5/1995,Colombia,241.483,24.6851,34.33,1073.17,25.733
9/12/1995,Colombia,241.483,24.6851,34.33,1073.17,26.377
9/19/1995,Colombia,241.483,24.6851,34.33,1073.17,28.622
9/26/1995,Colombia,241.483,24.6851,34.33,1073.17,29.972
10/3/1995,Colombia,244.274,24.3239,34.33,1073.17,28.513
10/10/1995,Colombia,244.274,24.3239,34.33,1073.17,29.387
10/17/1995,Colombia,244.274,24.3239,34.33,1073.17,29.044
10/24/1995,Colombia,244.274,24.3239,34.33,1073.17,27.886
10/31/1995,Colombia,244.274,24.3239,34.33,1073.17,27.202
11/7/1995,Colombia,240.84,24.3525,34.33,1073.17,25.954
11/14/1995,Colombia,240.84,24.3525,34.33,1073.17,23.82
11/21/1995,Colombia,240.84,24.3525,34.33,1073.17,21.98
11/28/1995,Colombia,240.84,24.3525,34.33,1073.17,23.657
12/5/1995,Colombia,175.008,24.3846,34.33,1073.17,25.582
12/12/1995,Colombia,175.008,24.3846,34.33,1073.17,26.115
12/19/1995,Colombia,175.008,24.3846,34.33,1073.17,26.487
12/26/1995,Colombia,175.008,24.3846,34.33,1073.17,27.215
8/2/2011,Colombia,221.107,24.7531,6.57,1010.33,111.53
8/9/2011,Colombia,221.107,24.7531,6.57,1010.33,109.031
8/16/2011,Colombia,221.107,24.7531,6.57,1010.33,107.446
8/23/2011,Colombia,221.107,24.7531,6.57,1010.33,102.412
8/30/2011,Colombia,221.107,24.7531,6.57,1010.33,106.243
9/6/2011,Colombia,289.045,24.7002,1.63,1010.33,113.221
9/13/2011,Colombia,289.045,24.7002,1.63,1010.33,114.618
9/20/2011,Colombia,289.045,24.7002,1.63,1010.33,114.007
9/27/2011,Colombia,289.045,24.7002,1.63,1010.33,115.239
10/4/2011,Colombia,265.561,24.5963,8.28,1010.33,117.03
10/11/2011,Colombia,265.561,24.5963,8.28,1010.33,117.657
10/18/2011,Colombia,265.561,24.5963,8.28,1010.33,120.745
10/25/2011,Colombia,265.561,24.5963,8.28,1010.33,122.607
11/1/2011,Colombia,302.112,24.7255,8.28,1010.33,122.541
11/8/2011,Colombia,302.112,24.7255,8.28,1010.33,114.896
11/15/2011,Colombia,302.112,24.7255,8.28,1010.33,104.414
11/22/2011,Colombia,302.112,24.7255,8.28,1010.33,97.495
11/29/2011,Colombia,302.112,24.7255,8.28,1010.33,99.583
12/6/2011,Colombia,205.032,24.7407,6.93,1010.33,100.602
12/13/2011,Colombia,205.032,24.7407,6.93,1010.33,103.082
12/20/2011,Colombia,205.032,24.7407,6.93,1010.33,103.143
12/27/2011,Colombia,205.032,24.7407,6.93,1010.33,104.103
1/3/2012,Colombia,144.848,25.054,6.95,1010.33,105.415
1/10/2012,Colombia,144.848,25.054,6.95,1010.33,111.501
1/17/2012,Colombia,144.848,25.054,6.95,1010.33,112.656
1/24/2012,Colombia,144.848,25.054,6.95,1010.33,116.252
1/31/2010,Colombia,144.848,25.054,6.95,1010.33,124.356
2/7/2012,Colombia,90.5267,24.6521,5.58,1010.33,136.418
2/14/2012,Colombia,90.5267,24.6521,5.58,1010.33,130.33
2/21/2012,Colombia,90.5267,24.6521,5.58,1010.33,129.976
2/28/2012,Colombia,90.5267,24.6521,5.58,1010.33,133.823
3/6/2012,Colombia,185.609,24.8773,5.58,1010.33,139.102
3/13/2012,Colombia,185.609,24.8773,5.58,1010.33,147.387
3/20/2012,Colombia,185.609,24.8773,5.58,1010.33,155.555
3/27/2012,Colombia,185.609,24.8773,5.58,1010.33,154.9
4/3/2012,Colombia,237.886,24.5621,5.58,1010.33,157.812
